review_id,viewer_id,movie_id,rating,review_text,sentiment,review_date
REV0001,VWR1257,MOV022,4,An absolute masterpiece.,Positive,2025-03-05
REV0002,VWR0955,MOV033,2,Very disappointing.,Negative,2026-01-01
REV0003,VWR0452,MOV027,3,Average movie experience.,Neutral,2025-12-09
REV0004,VWR1115,MOV029,2,Waste of time.,Negative,2025-03-30
REV0005,VWR1220,MOV020,5,Will definitely watch again.,Positive,2025-12-12
REV0006,VWR0310,MOV058,1,Terrible plot and awful acting.,Negative,2025-06-21
REV0007,VWR1407,MOV036,4,Strong pacing and high production quality.,Positive,2025-03-20
REV0008,VWR0305,MOV022,4,Strong pacing and high production quality.,Positive,2025-08-02
REV0009,VWR0257,MOV041,1,Could not finish it.,Negative,2025-08-30
REV0010,VWR0936,MOV020,5,Strong pacing and high production quality.,Positive,2025-01-24
REV0011,VWR0834,MOV032,2,Could not finish it.,Negative,2025-12-19
REV0012,VWR0852,MOV042,3,"Nothing special, but not bad.",Neutral,2025-08-07
REV0013,VWR0089,MOV053,3,Decent watch for a Sunday afternoon.,Neutral,2025-04-22
REV0014,VWR0559,MOV036,1,Terrible plot and awful acting.,Negative,2025-01-14
REV0015,VWR0615,MOV045,4,Incredible visual effects.,Positive,2025-01-09
REV0016,VWR0648,MOV039,4,Will definitely watch again.,Positive,2025-08-07
REV0017,VWR1173,MOV054,4,Strong pacing and high production quality.,Positive,2025-09-28
REV0018,VWR0099,MOV042,1,Waste of time.,Negative,2025-04-13
REV0019,VWR0929,MOV008,1,Could not finish it.,Negative,2025-05-28
REV0020,VWR1097,MOV002,4,An absolute masterpiece.,Positive,2025-05-31
REV0021,VWR0861,MOV037,2,Terrible plot and awful acting.,Negative,2025-06-26
REV0022,VWR0260,MOV042,3,Decent watch for a Sunday afternoon.,Neutral,2025-02-13
REV0023,VWR0929,MOV058,4,Strong pacing and high production quality.,Positive,2025-08-19
REV0024,VWR0166,MOV054,2,Waste of time.,Negative,2025-08-25
REV0025,VWR0602,MOV045,5,Will definitely watch again.,Positive,2025-08-15
REV0026,VWR1306,MOV024,4,Incredible visual effects.,Positive,2025-08-04
REV0027,VWR0347,MOV022,5,Incredible visual effects.,Positive,2025-12-14
REV0028,VWR0169,MOV047,1,Could not finish it.,Negative,2025-11-30
REV0029,VWR0879,MOV010,4,An absolute masterpiece.,Positive,2025-07-19
REV0030,VWR0942,MOV034,3,Average movie experience.,Neutral,2025-05-22
REV0031,VWR0361,MOV026,4,Loved the character development.,Positive,2025-09-06
REV0032,VWR0998,MOV001,3,"Nothing special, but not bad.",Neutral,2025-01-27
REV0033,VWR0489,MOV029,1,Expected much better.,Negative,2025-05-16
REV0034,VWR0138,MOV019,3,"It was okay, not great.",Neutral,2025-08-13
REV0035,VWR0300,MOV045,2,Terrible plot and awful acting.,Negative,2025-07-31
REV0036,VWR0121,MOV016,2,Waste of time.,Negative,2025-10-30
REV0037,VWR0408,MOV026,3,Pacing felt a bit slow.,Neutral,2025-12-26
REV0038,VWR1082,MOV026,3,Average movie experience.,Neutral,2025-02-10
REV0039,VWR1384,MOV002,5,Loved the character development.,Positive,2025-10-01
REV0040,VWR0278,MOV020,5,Loved the character development.,Positive,2025-02-04
REV0041,VWR1314,MOV056,3,Average movie experience.,Neutral,2025-06-28
REV0042,VWR1279,MOV050,1,Expected much better.,Negative,2025-12-03
REV0043,VWR0008,MOV042,1,Terrible plot and awful acting.,Negative,2025-12-05
REV0044,VWR0102,MOV042,5,Will definitely watch again.,Positive,2025-09-20
REV0045,VWR0196,MOV023,4,Loved the character development.,Positive,2025-11-05
REV0046,VWR0738,MOV051,1,Terrible plot and awful acting.,Negative,2025-05-11
REV0047,VWR1276,MOV028,3,Decent watch for a Sunday afternoon.,Neutral,2025-02-16
REV0048,VWR0001,MOV006,3,Decent watch for a Sunday afternoon.,Neutral,2025-07-09
REV0049,VWR0967,MOV031,4,Incredible visual effects.,Positive,2025-05-27
REV0050,VWR0344,MOV029,4,Loved the character development.,Positive,2025-10-08
REV0051,VWR1157,MOV009,4,Incredible visual effects.,Positive,2025-05-02
REV0052,VWR0923,MOV031,5,Strong pacing and high production quality.,Positive,2025-09-04
REV0053,VWR1275,MOV038,5,Loved the character development.,Positive,2025-09-23
REV0054,VWR0302,MOV022,2,Terrible plot and awful acting.,Negative,2025-09-05
REV0055,VWR0382,MOV057,5,Incredible visual effects.,Positive,2025-09-12
REV0056,VWR1261,MOV021,1,Very disappointing.,Negative,2025-11-29
REV0057,VWR0298,MOV045,2,Waste of time.,Negative,2025-02-18
REV0058,VWR0876,MOV006,4,Will definitely watch again.,Positive,2025-11-17
REV0059,VWR0770,MOV019,5,Incredible visual effects.,Positive,2025-01-15
REV0060,VWR0200,MOV026,4,An absolute masterpiece.,Positive,2025-11-22
REV0061,VWR0084,MOV039,4,Strong pacing and high production quality.,Positive,2025-03-10
REV0062,VWR0474,MOV017,5,Incredible visual effects.,Positive,2025-03-03
REV0063,VWR0401,MOV036,2,Waste of time.,Negative,2025-07-27
REV0064,VWR0328,MOV044,1,Terrible plot and awful acting.,Negative,2025-08-27
REV0065,VWR0411,MOV025,5,Strong pacing and high production quality.,Positive,2025-10-21
REV0066,VWR0422,MOV020,4,Incredible visual effects.,Positive,2025-07-28
REV0067,VWR0237,MOV042,5,An absolute masterpiece.,Positive,2025-06-28
REV0068,VWR0219,MOV004,5,An absolute masterpiece.,Positive,2025-09-11
REV0069,VWR0487,MOV048,4,Incredible visual effects.,Positive,2025-05-15
REV0070,VWR0784,MOV002,4,Incredible visual effects.,Positive,2025-06-21
REV0071,VWR1166,MOV033,2,Could not finish it.,Negative,2025-10-15
REV0072,VWR1497,MOV022,5,Incredible visual effects.,Positive,2025-01-07
REV0073,VWR1200,MOV044,5,Will definitely watch again.,Positive,2025-03-15
REV0074,VWR0963,MOV002,5,Loved the character development.,Positive,2025-09-24
REV0075,VWR0274,MOV027,4,An absolute masterpiece.,Positive,2025-02-03
REV0076,VWR0429,MOV028,5,An absolute masterpiece.,Positive,2025-03-16
REV0077,VWR0404,MOV030,4,An absolute masterpiece.,Positive,2025-09-19
REV0078,VWR0624,MOV055,5,Strong pacing and high production quality.,Positive,2025-08-06
REV0079,VWR0015,MOV039,1,Could not finish it.,Negative,2025-08-21
REV0080,VWR0306,MOV046,4,Loved the character development.,Positive,2025-06-04
REV0081,VWR0081,MOV003,5,Incredible visual effects.,Positive,2025-08-26
REV0082,VWR0188,MOV015,2,Could not finish it.,Negative,2025-02-15
REV0083,VWR0683,MOV049,2,Waste of time.,Negative,2025-08-18
REV0084,VWR0274,MOV006,2,Expected much better.,Negative,2025-01-13
REV0085,VWR1322,MOV039,3,Pacing felt a bit slow.,Neutral,2025-07-28
REV0086,VWR1216,MOV045,2,Expected much better.,Negative,2025-04-29
REV0087,VWR0513,MOV032,3,Average movie experience.,Neutral,2025-04-22
REV0088,VWR0772,MOV005,4,Will definitely watch again.,Positive,2026-01-01
REV0089,VWR1441,MOV054,5,Loved the character development.,Positive,2025-08-26
REV0090,VWR1282,MOV032,4,Will definitely watch again.,Positive,2025-03-22
REV0091,VWR1484,MOV001,2,Very disappointing.,Negative,2025-12-28
REV0092,VWR0164,MOV005,5,An absolute masterpiece.,Positive,2025-09-06
REV0093,VWR0895,MOV013,5,Will definitely watch again.,Positive,2025-02-07
REV0094,VWR1172,MOV050,3,"Nothing special, but not bad.",Neutral,2025-03-24
REV0095,VWR0266,MOV055,5,Will definitely watch again.,Positive,2025-09-17
REV0096,VWR0015,MOV058,5,An absolute masterpiece.,Positive,2025-06-24
REV0097,VWR0608,MOV029,5,Will definitely watch again.,Positive,2025-01-09
REV0098,VWR0608,MOV030,4,An absolute masterpiece.,Positive,2025-08-30
REV0099,VWR1429,MOV013,4,Incredible visual effects.,Positive,2025-06-09
REV0100,VWR1146,MOV050,4,Strong pacing and high production quality.,Positive,2025-10-16
REV0101,VWR0610,MOV039,1,Expected much better.,Negative,2025-03-10
REV0102,VWR0952,MOV041,3,Pacing felt a bit slow.,Neutral,2025-06-29
REV0103,VWR0710,MOV016,3,Decent watch for a Sunday afternoon.,Neutral,2025-04-26
REV0104,VWR1204,MOV012,4,Incredible visual effects.,Positive,2025-07-19
REV0105,VWR0651,MOV051,3,Pacing felt a bit slow.,Neutral,2025-02-28
REV0106,VWR0124,MOV041,2,Expected much better.,Negative,2025-01-06
REV0107,VWR0096,MOV004,5,Incredible visual effects.,Positive,2025-03-28
REV0108,VWR0462,MOV018,5,An absolute masterpiece.,Positive,2025-01-07
REV0109,VWR0798,MOV049,2,Waste of time.,Negative,2025-11-21
REV0110,VWR0569,MOV009,5,Will definitely watch again.,Positive,2025-09-02
REV0111,VWR0418,MOV027,2,Terrible plot and awful acting.,Negative,2025-04-02
REV0112,VWR0972,MOV006,5,Will definitely watch again.,Positive,2025-09-29
REV0113,VWR1027,MOV035,5,Strong pacing and high production quality.,Positive,2025-08-10
REV0114,VWR0180,MOV045,3,Pacing felt a bit slow.,Neutral,2025-02-03
REV0115,VWR1439,MOV040,2,Could not finish it.,Negative,2025-10-24
REV0116,VWR0440,MOV060,2,Expected much better.,Negative,2025-03-25
REV0117,VWR0347,MOV001,1,Could not finish it.,Negative,2025-09-30
REV0118,VWR1397,MOV049,4,Incredible visual effects.,Positive,2025-11-23
REV0119,VWR0557,MOV026,3,Average movie experience.,Neutral,2025-09-25
REV0120,VWR0833,MOV023,4,Incredible visual effects.,Positive,2025-07-23
REV0121,VWR0836,MOV044,2,Terrible plot and awful acting.,Negative,2025-03-28
REV0122,VWR1021,MOV043,2,Waste of time.,Negative,2025-08-18
REV0123,VWR0201,MOV006,5,Incredible visual effects.,Positive,2025-03-09
REV0124,VWR0229,MOV012,4,Strong pacing and high production quality.,Positive,2025-12-04
REV0125,VWR0933,MOV001,2,Could not finish it.,Negative,2025-08-05
REV0126,VWR0099,MOV032,2,Terrible plot and awful acting.,Negative,2025-09-28
REV0127,VWR1250,MOV015,5,Loved the character development.,Positive,2025-11-23
REV0128,VWR0940,MOV057,3,Average movie experience.,Neutral,2025-06-29
REV0129,VWR0604,MOV036,2,Expected much better.,Negative,2025-07-16
REV0130,VWR0949,MOV054,1,Very disappointing.,Negative,2025-06-06
REV0131,VWR0191,MOV002,4,Strong pacing and high production quality.,Positive,2025-05-22
REV0132,VWR1469,MOV011,3,"Nothing special, but not bad.",Neutral,2025-01-18
REV0133,VWR0449,MOV005,4,Strong pacing and high production quality.,Positive,2025-02-23
REV0134,VWR1429,MOV009,5,An absolute masterpiece.,Positive,2025-02-16
REV0135,VWR0316,MOV024,1,Very disappointing.,Negative,2025-11-07
REV0136,VWR0568,MOV056,4,Will definitely watch again.,Positive,2025-01-09
REV0137,VWR0898,MOV041,3,"It was okay, not great.",Neutral,2025-11-10
REV0138,VWR0762,MOV058,2,Very disappointing.,Negative,2025-11-12
REV0139,VWR1403,MOV047,4,Incredible visual effects.,Positive,2025-02-17
REV0140,VWR0036,MOV015,4,Incredible visual effects.,Positive,2025-04-20
REV0141,VWR0601,MOV039,4,Incredible visual effects.,Positive,2025-06-12
REV0142,VWR0582,MOV048,4,An absolute masterpiece.,Positive,2025-08-19
REV0143,VWR0905,MOV011,4,An absolute masterpiece.,Positive,2025-03-22
REV0144,VWR0130,MOV010,4,An absolute masterpiece.,Positive,2025-12-14
REV0145,VWR1022,MOV018,3,Pacing felt a bit slow.,Neutral,2025-06-14
REV0146,VWR0123,MOV036,4,Strong pacing and high production quality.,Positive,2025-01-17
REV0147,VWR0853,MOV022,4,Strong pacing and high production quality.,Positive,2025-11-15
REV0148,VWR1379,MOV025,4,An absolute masterpiece.,Positive,2025-03-27
REV0149,VWR1391,MOV022,2,Very disappointing.,Negative,2025-10-22
REV0150,VWR0395,MOV059,3,Pacing felt a bit slow.,Neutral,2025-07-27
REV0151,VWR0944,MOV026,4,Will definitely watch again.,Positive,2025-07-10
REV0152,VWR0159,MOV023,4,Will definitely watch again.,Positive,2025-11-19
REV0153,VWR0725,MOV010,4,Incredible visual effects.,Positive,2025-09-22
REV0154,VWR0038,MOV027,5,Loved the character development.,Positive,2025-03-10
REV0155,VWR1297,MOV006,4,An absolute masterpiece.,Positive,2025-03-05
REV0156,VWR1473,MOV049,1,Very disappointing.,Negative,2025-07-17
REV0157,VWR1317,MOV046,1,Expected much better.,Negative,2025-11-26
REV0158,VWR1197,MOV037,4,Incredible visual effects.,Positive,2025-08-22
REV0159,VWR0744,MOV021,2,Expected much better.,Negative,2025-04-02
REV0160,VWR0278,MOV019,1,Terrible plot and awful acting.,Negative,2025-12-21
REV0161,VWR0128,MOV044,1,Very disappointing.,Negative,2025-09-21
REV0162,VWR0927,MOV018,2,Expected much better.,Negative,2025-04-27
REV0163,VWR0523,MOV019,3,Pacing felt a bit slow.,Neutral,2025-03-02
REV0164,VWR1054,MOV026,5,Strong pacing and high production quality.,Positive,2025-03-17
REV0165,VWR0628,MOV011,2,Could not finish it.,Negative,2025-02-02
REV0166,VWR1199,MOV047,1,Expected much better.,Negative,2025-03-05
REV0167,VWR0491,MOV004,5,Incredible visual effects.,Positive,2025-12-18
REV0168,VWR0256,MOV037,2,Waste of time.,Negative,2025-06-21
REV0169,VWR0104,MOV010,4,Will definitely watch again.,Positive,2025-07-18
REV0170,VWR0709,MOV014,1,Waste of time.,Negative,2025-02-20
REV0171,VWR0089,MOV029,3,Pacing felt a bit slow.,Neutral,2025-04-15
REV0172,VWR1120,MOV057,5,Incredible visual effects.,Positive,2025-12-19
REV0173,VWR1211,MOV036,3,Average movie experience.,Neutral,2025-08-24
REV0174,VWR1474,MOV046,4,Loved the character development.,Positive,2025-02-06
REV0175,VWR1064,MOV005,5,Incredible visual effects.,Positive,2025-04-17
REV0176,VWR1369,MOV036,5,Strong pacing and high production quality.,Positive,2025-11-14
REV0177,VWR1347,MOV022,5,Incredible visual effects.,Positive,2025-08-03
REV0178,VWR1494,MOV031,2,Could not finish it.,Negative,2025-10-13
REV0179,VWR0199,MOV008,4,An absolute masterpiece.,Positive,2025-01-16
REV0180,VWR1103,MOV045,1,Very disappointing.,Negative,2025-09-23
REV0181,VWR1178,MOV058,3,"Nothing special, but not bad.",Neutral,2025-08-07
REV0182,VWR0085,MOV015,1,Very disappointing.,Negative,2025-05-10
REV0183,VWR1375,MOV057,5,Loved the character development.,Positive,2025-01-24
REV0184,VWR1305,MOV002,5,Strong pacing and high production quality.,Positive,2025-12-15
REV0185,VWR1042,MOV037,3,Pacing felt a bit slow.,Neutral,2025-06-19
REV0186,VWR0786,MOV043,3,Decent watch for a Sunday afternoon.,Neutral,2025-11-07
REV0187,VWR0818,MOV006,4,Strong pacing and high production quality.,Positive,2025-05-10
REV0188,VWR1488,MOV036,5,Strong pacing and high production quality.,Positive,2025-04-02
REV0189,VWR0448,MOV015,4,Loved the character development.,Positive,2025-12-06
REV0190,VWR0132,MOV051,3,Decent watch for a Sunday afternoon.,Neutral,2025-03-15
REV0191,VWR0878,MOV008,1,Expected much better.,Negative,2025-07-24
REV0192,VWR1441,MOV037,3,"It was okay, not great.",Neutral,2025-01-23
REV0193,VWR0403,MOV028,4,Strong pacing and high production quality.,Positive,2025-10-28
REV0194,VWR1398,MOV047,3,Pacing felt a bit slow.,Neutral,2025-04-07
REV0195,VWR0893,MOV048,1,Terrible plot and awful acting.,Negative,2025-06-04
REV0196,VWR0774,MOV034,3,"It was okay, not great.",Neutral,2025-07-10
REV0197,VWR1466,MOV049,4,Loved the character development.,Positive,2025-02-26
REV0198,VWR1297,MOV054,2,Very disappointing.,Negative,2025-11-21
REV0199,VWR1221,MOV006,2,Expected much better.,Negative,2025-10-30
REV0200,VWR0388,MOV017,3,"Nothing special, but not bad.",Neutral,2025-09-21
REV0201,VWR0345,MOV040,3,Average movie experience.,Neutral,2025-01-11
REV0202,VWR0073,MOV052,4,Incredible visual effects.,Positive,2025-02-16
REV0203,VWR0223,MOV028,1,Could not finish it.,Negative,2025-05-03
REV0204,VWR0347,MOV042,2,Very disappointing.,Negative,2025-12-21
REV0205,VWR0769,MOV041,5,Strong pacing and high production quality.,Positive,2025-07-30
REV0206,VWR0670,MOV052,5,Strong pacing and high production quality.,Positive,2025-02-04
REV0207,VWR0500,MOV052,4,Incredible visual effects.,Positive,2025-06-08
REV0208,VWR0460,MOV032,2,Waste of time.,Negative,2025-02-10
REV0209,VWR0050,MOV039,2,Could not finish it.,Negative,2025-11-04
REV0210,VWR0221,MOV046,1,Waste of time.,Negative,2025-06-04
REV0211,VWR0471,MOV028,4,Loved the character development.,Positive,2025-11-16
REV0212,VWR0476,MOV011,4,Strong pacing and high production quality.,Positive,2025-04-18
REV0213,VWR0087,MOV054,5,An absolute masterpiece.,Positive,2025-10-28
REV0214,VWR0566,MOV049,4,Incredible visual effects.,Positive,2025-02-01
REV0215,VWR1173,MOV041,5,Will definitely watch again.,Positive,2025-08-05
REV0216,VWR0585,MOV001,5,Strong pacing and high production quality.,Positive,2025-08-28
REV0217,VWR0634,MOV039,5,An absolute masterpiece.,Positive,2025-07-06
REV0218,VWR0009,MOV059,4,Strong pacing and high production quality.,Positive,2025-03-06
REV0219,VWR0264,MOV010,1,Could not finish it.,Negative,2025-03-10
REV0220,VWR0080,MOV019,1,Very disappointing.,Negative,2025-12-12
REV0221,VWR0180,MOV033,3,Decent watch for a Sunday afternoon.,Neutral,2025-03-19
REV0222,VWR0411,MOV039,1,Could not finish it.,Negative,2025-01-15
REV0223,VWR0890,MOV044,4,An absolute masterpiece.,Positive,2025-03-07
REV0224,VWR0395,MOV012,1,Very disappointing.,Negative,2025-02-05
REV0225,VWR0498,MOV011,1,Expected much better.,Negative,2025-04-27
REV0226,VWR0228,MOV015,3,Decent watch for a Sunday afternoon.,Neutral,2025-07-18
REV0227,VWR0839,MOV024,4,Strong pacing and high production quality.,Positive,2025-07-23
REV0228,VWR1221,MOV004,3,"It was okay, not great.",Neutral,2025-08-30
REV0229,VWR1400,MOV003,5,Incredible visual effects.,Positive,2025-05-01
REV0230,VWR0948,MOV005,3,"Nothing special, but not bad.",Neutral,2025-11-03
REV0231,VWR0354,MOV054,3,"It was okay, not great.",Neutral,2025-10-06
REV0232,VWR0571,MOV029,4,Will definitely watch again.,Positive,2025-10-20
REV0233,VWR0982,MOV019,5,Will definitely watch again.,Positive,2025-04-16
REV0234,VWR0340,MOV009,3,Decent watch for a Sunday afternoon.,Neutral,2025-09-02
REV0235,VWR1276,MOV028,4,Incredible visual effects.,Positive,2025-07-17
REV0236,VWR0234,MOV034,1,Very disappointing.,Negative,2025-10-18
REV0237,VWR1370,MOV051,2,Terrible plot and awful acting.,Negative,2025-05-14
REV0238,VWR0834,MOV052,2,Terrible plot and awful acting.,Negative,2025-11-22
REV0239,VWR0640,MOV057,2,Terrible plot and awful acting.,Negative,2025-03-14
REV0240,VWR0693,MOV021,2,Expected much better.,Negative,2025-01-13
REV0241,VWR1058,MOV016,1,Very disappointing.,Negative,2025-04-04
REV0242,VWR1400,MOV009,3,"It was okay, not great.",Neutral,2025-08-25
